url,title,company,use_case,roi_category,roi_type,has_percentage_claim,max_percentage,percentages,has_amount_claim,max_amount,amounts,credibility_score,source,date,sentiment,ai_mention_count
https://www.ispreview.co.uk/index.php/2025/11/isp-octaplus-test-new-ai-support-system-with-uk-broadband-customers.html,ISP Octaplus Test New AI Support System with UK Broadband Customers,Octaplus,customer_support_experience,Customer Support & Experience,time_savings,False,,,False,,,80,ISPreview UK,2025-11-12,positive,3.0
https://www.ispreview.co.uk/index.php/2025/10/university-of-portsmouth-team-get-772k-to-develop-subsea-cable-surveillance.html,University of Portsmouth Team Get £772k to Develop Subsea Cable Surveillance,,predictive_maintenance_analytics,Predictive Maintenance & Analytics,general_improvement,False,,,True,772000.0,"772,000 GBP,772,000 GBP",100,ISPreview UK,2025-10-15,positive,4.0
https://www.ispreview.co.uk/index.php/2025/09/mobile-infrastructure-firm-cornerstone-adopts-ai-to-boost-uk-rollout.html,Mobile Infrastructure Firm Cornerstone Adopts AI to Boost UK Rollout,"Cornerstone,Virgin Media O2,Vodafone,Vantage Towers",network_planning_deployment,Network Planning & Deployment,cost_reduction,False,,,False,,,80,ISPreview UK,2025-09-29,positive,3.0
https://www.ispreview.co.uk/index.php/2025/09/rural-uk-isp-gigaclear-adopts-ai-to-improve-customer-broadband-installs.html,Rural UK ISP Gigaclear Adopts AI to Improve Customer Broadband Installs,Gigaclear,customer_support_experience,Customer Support & Experience,customer_impact,False,,,False,,,80,ISPreview UK,2025-09-17,positive,1.0
https://www.ispreview.co.uk/index.php/2025/08/ulster-university-uses-ai-to-develop-faster-mimo-tech-for-6g-mobile.html,Ulster University Uses AI to Develop Faster MIMO Tech for 6G Mobile,,network_optimization_performance,Network Optimization & Performance,time_savings,False,,,False,,,80,ISPreview UK,2025-08-26,positive,2.0
https://www.ispreview.co.uk/index.php/2025/07/virgin-media-o2-uk-tries-to-boost-customer-service-with-new-lumi-ai-tool.html,Virgin Media O2 UK to Boost Customer Service with New Lumi AI Tool,Virgin Media O2,customer_support_experience,Customer Support & Experience,time_savings,False,,,False,,,80,ISPreview UK,2025-07-28,positive,3.0
https://www.ispreview.co.uk/index.php/2025/07/broadband-isp-talktalk-uk-adopt-nices-ai-powered-customer-service-platform.html,Broadband ISP TalkTalk UK Adopt NiCE’s AI-Powered Customer Service Platform,TalkTalk,customer_support_experience,Customer Support & Experience,time_savings,False,,,False,,,80,ISPreview UK,2025-07-01,positive,4.0
https://www.ispreview.co.uk/index.php/2025/03/vodafone-uk-and-ericsson-trial-ai-tech-to-improve-5g-energy-efficiency.html,Vodafone UK and Ericsson Trial AI Tech to Improve 5G Energy Efficiency,"Vodafone,Ericsson",network_optimization_performance,Network Optimization & Performance,time_savings,False,,,False,,,80,ISPreview UK,2025-03-11,positive,4.0
https://www.ispreview.co.uk/index.php/2025/03/virgin-media-o2-invest-700m-into-uk-4g-and-5g-mobile-upgrades-for-2025.html,Virgin Media O2 Invest £700m into UK 4G and 5G Mobile Upgrades for 2025,Virgin Media O2,network_optimization_performance,Network Optimization & Performance,general_improvement,False,,,True,700000000.0,"700,000,000 GBP,700,000,000 GBP",85,ISPreview UK,2025-03-11,neutral,2.0
https://www.ispreview.co.uk/index.php/2025/02/spectrum-policy-forum-says-ai-can-help-ofcom-manage-uk-radio-waves.html,Spectrum Policy Forum Says AI Can Help Ofcom Manage UK Radio Waves,,network_optimization_performance,Network Optimization & Performance,time_savings,False,,,False,,,80,ISPreview UK,2025-02-27,positive,2.0
https://www.ispreview.co.uk/index.php/2025/01/o2-uk-reveals-first-insights-from-ai-granny-created-to-waste-scammers-time.html,O2 UK Reveals First Insights from AI Granny Created to Waste Scammers Time,Virgin Media O2,security_fraud_threat,"Security, Fraud & Threat Detection",time_savings,False,,,False,,,80,ISPreview UK,2025-01-23,positive,2.0
https://www.ispreview.co.uk/index.php/2024/12/bt-claims-to-be-enhancing-uk-customer-support-via-ai-tech-and-chatbots.html,BT Claim to be Enhancing UK Customer Support via AI Tech and Chatbots,"BT,EE",customer_support_experience,Customer Support & Experience,customer_impact,False,,,False,,,80,ISPreview UK,2024-12-12,positive,3.0
https://www.ispreview.co.uk/index.php/2024/11/virgin-media-o2-uk-offer-free-access-to-ai-search-engine-perplexity-pro.html,Virgin Media O2 UK Offer Free Access to AI Search Engine Perplexity Pro,"Virgin Media,O2",customer_support_experience,Customer Support & Experience,customer_impact,False,,,True,150.0,150 GBP,100,ISPreview UK,2024-11-20,positive,1.0
