source,date,title,url,primary_use_case,primary_use_case_confidence,ai_use_cases,sentiment,ai_mention_count,ai_mentions,title_ai_mention_count,title_ai_mentions,word_count,summary,AI
BT,2024-12-01,BT Group leans on AI to transform customer service experience,https://manual-entry/bt/05db6bd7e8,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,BT uses AI for Customer Service. Uses a company called sprinklr,Yes
BT,2025-11-01,BT to boost use of AI to reverse declines at business unit,https://manual-entry/bt/7582a7ab06,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,BT uses AI for Manual Data Processing. nan,Yes
BT,2024-05-01,BT ramps up AI use to counter hacking threats to business customers | BT | The Guardian,https://manual-entry/bt/711aa35b26,security_fraud_threat,High,security_fraud_threat,Positive,1,AI,1,AI,500,BT uses AI for Cybersecurity. nan,Yes
BT,2024-10-01,BT’s network platform strategy is rooted in AI,https://manual-entry/bt/688f116cbc,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,BT uses AI for Network Operations. nan,Yes
BT,2024-01-01,Why AI and Agile are at the heart of corporate digital transformation at BT Group - a progress report,https://manual-entry/bt/9ab356225c,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,BT uses AI for Customer Service. nan,Yes
BT,2024-06-01,Case study: BT rolls out Amazon’s generative AI developer tool to more coders | Computer Weekly,https://manual-entry/bt/f5371b70f0,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,BT uses AI for Internal Productivity. nan,Yes
BT,2025-06-01,BT - AI in Internal Productivity,https://www.fierce-network.com/modernization/bt-vodafone-execs-talk-about-training-their-employees-ai,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,BT uses AI for Internal Productivity. nan,Yes
BT,2024-09-01,How BT worked to avoid GenAI lock-in,https://manual-entry/bt/350f4a4946,other,High,other,Positive,1,AI,1,AI,500,BT uses AI for nan. Platform allows them to use any underlying model,Yes
BT,2023-07-01,BT Group’s Digital unit accelerates AI use cases and navigates GenAI,https://manual-entry/bt/fa76332abd,other,High,other,Positive,1,AI,1,AI,500,BT uses AI for nan. Have an AI Accelerator enabling them to launch AI projects within 14 days,Yes
BT,2025-11-01,BT and Pindrop Team Up to Combat Voice Fraud with AI | VoIP Review,https://manual-entry/bt/bba3da73d9,security_fraud_threat,High,security_fraud_threat,Positive,1,AI,1,AI,500,BT uses AI for Fraud Detection / Cybersecurity. nan,Yes
BT,2024-05-01,Comms Business - BT implements AI-enhanced training platform,https://manual-entry/bt/00f42bd3b3,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,BT uses AI for Internal Productivity. nan,Yes
BT,2024-06-01,BT Group employs ServiceNow AI to enhance staff operations - Techerati,https://manual-entry/bt/8defde3296,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,BT uses AI for Internal Productivity. nan,Yes
BT,,BT partners with Nokia to deliver superior customer experience and improve operational efficiency | Nokia.com,https://manual-entry/bt/532db271ba,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,0,,500,BT uses AI for Network Operations. nan,Yes
BT,2023-04-01,"BT Sourced powers procurement transformation with AI, automation and analytics",https://manual-entry/bt/bcad8211b6,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,BT uses AI for Procurement. Subsidiary focussed on AI procurement,Yes
BT,2024-02-01,Globality and BT Announce New Partnership to Unleash the Power of Procurement,https://manual-entry/bt/6ef48d1bfc,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,0,,500,BT uses AI for Procurement. nan,Yes
VMO2,2025-07-01,Virgin Media O2 launches new AI tools to supercharge customer services and better help most vulnerable customers - Virgin Media O2,https://manual-entry/vmo2/e8c8a2b98f,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,VMO2 uses AI for Customer Service. nan,Yes
VMO2,2025-09-01,Virgin Media O2 deploys AI-powered network intelligence to strengthen broadband service delivery,https://manual-entry/vmo2/631516b984,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,VMO2 uses AI for Network Operations. nan,Yes
VMO2,2025-03-01,Transforming Risk Management at Virgin Media O2 with Generative AI,https://manual-entry/vmo2/ecbae74ae1,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,VMO2 uses AI for Risk Reporting. nan,Yes
VMO2,2025-02-01,Virgin Media O2 rolls out AI training as part of enhanced learning and development programme to equip employees with critical skills - Virgin Media O2,https://manual-entry/vmo2/b15bc425fb,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,VMO2 uses AI for Internal Productivity. nan,Yes
VMO2,2025-07-01,Accelerating VMO2’s Network Operations with AI and Automation,https://manual-entry/vmo2/791014a1f1,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,VMO2 uses AI for Network Operations. nan,Yes
VMO2,2021-07-01,O2 Business launches new AI technology to improve customer experiences in stores - Virgin Media O2,https://manual-entry/vmo2/125acbd2d2,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,VMO2 uses AI for Customer Service. nan,Yes
VMO2,2024-11-01,Virgin Media O2 partners with Perplexity for AI search access - CO/AI,https://manual-entry/vmo2/f58081b4e2,other,High,other,Positive,1,AI,1,AI,500,VMO2 uses AI for Selling as Add-On. nan,Yes
VMO2,2024-11-01,O2 deploys AI granny against scammers • The Register,https://manual-entry/vmo2/74173984d0,security_fraud_threat,High,security_fraud_threat,Positive,1,AI,1,AI,500,VMO2 uses AI for Fraud Detection. nan,Yes
VMO2,2024-02-01,VMO2 fights spam with Hiya roll-out AI spam fighting tools - Capacity,https://manual-entry/vmo2/83a12c78c4,security_fraud_threat,High,security_fraud_threat,Positive,1,AI,1,AI,500,VMO2 uses AI for Fraud Detection. nan,Yes
VMO2,2024-09-01,Virgin Media O2 works with EkkoSense to unlock data centre cooling energy savings worth over £1 million per year - Virgin Media O2,https://manual-entry/vmo2/b5b82a93b2,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,0,,500,VMO2 uses AI for Data Centre Operations. nan,Yes
VMO2,2023-03-01,The MLOps Cookbook: how we optimised our Vertex AI Pipelines Environments at VMO2 for scale | by Digital at Virgin Media O2 | Medium,https://manual-entry/vmo2/b1047bef48,other,High,other,Positive,1,AI,1,AI,500,VMO2 uses AI for Unsure. nan,Yes
VMO2,2025-10-01,Inside Virgin Media O2’s AI Strategy for the Network of the Future,https://manual-entry/vmo2/edb98f321d,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,VMO2 uses AI for AI Ops. nan,Yes
Vodafone,2024-10-01,How Vodafone is using AI to shape the next generation of customer service,https://manual-entry/vodafone/a82c92948e,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,Vodafone uses AI for Customer Service. nan,Yes
Vodafone,2024-11-01,How Vodafone is using gen AI to enhance network lifecycle | Google Cloud Blog,https://manual-entry/vodafone/6441f82462,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,Vodafone uses AI for Network Operations. nan,Yes
Vodafone,2025-06-01,Vodafone - AI in Internal Productivity,https://www.fierce-network.com/modernization/bt-vodafone-execs-talk-about-training-their-employees-ai,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,Vodafone uses AI for Internal Productivity. nan,Yes
Vodafone,2017-06-01,Vodafone uses robots to screen jobhunters,https://manual-entry/vodafone/2037068a79,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,0,,500,Vodafone uses AI for Recruitment. nan,Yes
Vodafone,2025-04-01,Vodafone forecasts ‘big bang’ as agentic AI starts to transform network ops | Technology | TelcoTitans.com,https://manual-entry/vodafone/38c10ee871,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,Vodafone uses AI for Network Operations. nan,Yes
Vodafone,2024-09-01,How Vodafone plans to create AI-powered tech-comms powerhouse with Microsoft - Microsoft UK Stories,https://manual-entry/vodafone/ecf706b7f8,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,Vodafone uses AI for Internal Productivity. KPMG did a trial to show the productivity gains,Yes
Vodafone,2025-10-01,Vodafone and Zinkworks partner to create AI platform to simplify and accelerate launch of new mobile network apps for customers,https://manual-entry/vodafone/edaa646bf9,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,Vodafone uses AI for Network Operations. nan,Yes
Vodafone,2025-04-01,Vodafone eyes service growth from internal AI and IT innovation,https://manual-entry/vodafone/fd2b79a56b,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,Vodafone uses AI for Internal Productivity. AI booster program enabling engineers to deploy new models,Yes
Vodafone,2024-04-01,How Vodafone is leveraging AI for competitive advantage,https://manual-entry/vodafone/7e0fb0de83,other,High,other,Positive,1,AI,1,AI,500,Vodafone uses AI for Various. Highlights a vaierty of benefits / challenges,Yes
Vodafone,,Vodafone calls upon Gen AI to expand use of IT tools - Capgemini,https://manual-entry/vodafone/905c502a35,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,1,AI,500,Vodafone uses AI for Internal Productivity. nan,Yes
Vodafone,2021-07-01,Vodafone uses AI to detect and fix network issues | TechRadar,https://manual-entry/vodafone/ce9b13edff,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,Vodafone uses AI for Network Operations. nan,Yes
Vodafone,2025-08-01,aimagazine.com | 500: Internal server error,https://manual-entry/vodafone/f77e50ab08,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,Vodafone uses AI for Network Operations. nan,Yes
Vodafone,2025-06-01,sustainabilitymag.com | 500: Internal server error,https://manual-entry/vodafone/559a5adccf,network_optimization_performance,High,network_optimization_performance,Positive,1,AI,1,AI,500,Vodafone uses AI for Network-as-a-Sensor. nan,Yes
Vodafone,2024-10-01,Vodafone will use AI to help customers who phone its call centre: How will it work? | This is Money,https://manual-entry/vodafone/259924dfa2,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,Vodafone uses AI for Customer Service. nan,Yes
Sky,2018-05-01,"Sky looks to AI to get smarter about customers - benefits, learnings and cautions",https://manual-entry/sky/3fc8c6299e,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,Sky uses AI for Customer Service. nan,Yes
Sky,2018-11-01,Sky flexes its AI muscles,https://manual-entry/sky/7f016353bf,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,Sky uses AI for Sales / Customer Service. nan,Yes
Sky,2025-04-01,"Sky turns to AI chatbots, cutting 2,000 call centre jobs - InfotechLead",https://manual-entry/sky/91968519a9,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,Sky uses AI for Customer Service. nan,Yes
Sky,2025-07-01,Post | LinkedIn,https://manual-entry/sky/f55f65dbdd,other,High,other,Positive,1,AI,0,,500,Sky uses AI for nan. Hosted internal AI Competition,Yes
TalkTalk,2025-07-01,Broadband ISP TalkTalk UK Adopt NiCE's AI-Powered Customer Service Platform - ISPreview UK,https://manual-entry/talktalk/cae7d1a84a,customer_support_experience,High,customer_support_experience,Positive,1,AI,1,AI,500,TalkTalk uses AI for Customer Service. nan,Yes
TalkTalk,2025-04-01,TalkTalk partners with Kraken to revolutionise customer experience for millions of UK broadband customers - TalkTalk Group,https://manual-entry/talktalk/87246bf232,customer_support_experience,High,customer_support_experience,Positive,1,AI,0,,500,TalkTalk uses AI for Customer Service. nan,Yes
TalkTalk,,"MD Tech Leader Talks with Phil Haslam, CTO at TalkTalk - The roundup | Manchester Digital",https://manual-entry/talktalk/79ba6f4206,internal_productivity_workforce,High,internal_productivity_workforce,Positive,1,AI,0,,500,TalkTalk uses AI for Internal Productivity / Network Ops. nan,Yes
TalkTalk,2023-04-01,Personalising the journey to full fibre | CityFibre,https://manual-entry/talktalk/42d70280f3,customer_support_experience,High,customer_support_experience,Positive,1,AI,0,,500,TalkTalk uses AI for Customer Service. nan,Yes
