source,date,title,url,primary_use_case,primary_use_case_confidence,ai_use_cases,sentiment,ai_mention_count,ai_mentions,title_ai_mention_count,title_ai_mentions,word_count,summary,AI,company,strategic_importance,maturity_stage,key_technologies,business_impact
ISPreview UK,2025-11-13,City of London Corp Picks Roc Technologies to Deliver New Network,https://www.ispreview.co.uk/index.php/2025/11/city-of-london-corp-picks-roc-technologies-to-deliver-new-network.html,network_optimization_performance,0.7,network_optimization_performance,neutral,1,AI-driven wireless capability,0,,55,"The City of London Corporation has selected Roc Technologies to deliver a new end-to-end networking solution featuring AI-driven wireless capability and a UK-first enterprise SASE rollout for public services, leveraging Vorboss's 100Gbps full fibre network.",1,,,,,
ISPreview UK,2025-11-12,ISP Octaplus Test New AI Support System with UK Broadband Customers,https://www.ispreview.co.uk/index.php/2025/11/isp-octaplus-test-new-ai-support-system-with-uk-broadband-customers.html,customer_support_experience,0.95,customer_support_experience,positive,9,"AI,Artificial Intelligence,Ask Octa AI,chatbot,virtual assistant,automation,natural language processing,NLP",1,AI,44,"Octaplus has begun an early‑stage rollout of its AI‑powered support system, Ask Octa AI, to a selected group of customers. The system employs a chatbot/virtual assistant that uses natural language processing to automate troubleshooting and support interactions, aiming to improve customer experience and reduce response times.",1,,,,,
ISPreview UK,2025-11-11,Ofcom Monitoring UK VPN Use Due to Circumvention of Online Safety Act,https://www.ispreview.co.uk/index.php/2025/11/ofcom-monitoring-uk-vpn-use-due-to-circumvention-of-online-safety-act.html,security_fraud_threat,0.7,security_fraud_threat,neutral,1,AI,0,,55,"Ofcom is reportedly using a third‑party monitoring tool with AI capabilities to track VPN usage, aiming to detect and curb circumvention of the Online Safety Act’s censorship provisions. The initiative focuses on monitoring network traffic for potential policy violations.",1,,,,,
ISPreview UK,2025-10-30,ISP BT to Launch New AI Anti-Virus Service for Small UK Businesses,https://www.ispreview.co.uk/index.php/2025/10/isp-bt-to-launch-new-ai-anti-virus-service-for-small-uk-businesses.html,security_fraud_threat,0.95,security_fraud_threat,positive,1,AI,1,AI,53,"BT partners with CrowdStrike to launch an AI‑powered antivirus service for small businesses, designed to proactively detect and stop threats before they become breaches, strengthening cybersecurity for its customers.",1,,,,,
ISPreview UK,2025-09-29,Mobile Infrastructure Firm Cornerstone Adopts AI to Boost UK Rollout,https://www.ispreview.co.uk/index.php/2025/09/mobile-infrastructure-firm-cornerstone-adopts-ai-to-boost-uk-rollout.html,network_planning_deployment,0.95,network_planning_deployment,positive,3,"AI,Agentic Video Intelligence,video intelligence",1,AI,51,"Cornerstone has adopted Vyntelligence’s Agentic Video Intelligence AI technology to accelerate the rollout of new masts across the UK, cutting deployment time and costs. The computer‑vision‑based system streamlines site selection and construction planning, boosting the efficiency of its network expansion.",1,,,,,
ISPreview UK,2025-09-17,Rural UK ISP Gigaclear Adopts AI to Improve Customer Broadband Installs,https://www.ispreview.co.uk/index.php/2025/09/rural-uk-isp-gigaclear-adopts-ai-to-improve-customer-broadband-installs.html,internal_productivity_workforce,0.8,internal_productivity_workforce,positive,1,AI,1,AI,60,"Gigaclear has adopted Vyntelligence’s AI video technology to streamline its fibre installation process, using computer‑vision guided workflows to cut unnecessary work and improve the customer installation journey. The technology helps installers work more efficiently, reducing delays and enhancing customer satisfaction.",1,,,,,
ISPreview UK,2025-08-26,Ulster University Uses AI to Develop Faster MIMO Tech for 6G Mobile,https://www.ispreview.co.uk/index.php/2025/08/ulster-university-uses-ai-to-develop-faster-mimo-tech-for-6g-mobile.html,network_optimization_performance,0.95,network_optimization_performance,positive,2,"AI,Artificial Intelligence",1,AI,52,"Ulster University researchers have applied AI to design a new massive MIMO (ma‑MIMO) technology aimed at 6G mobile networks. The AI-driven design promises faster, smarter, and more energy‑efficient broadband performance, positioning the university at the forefront of next‑generation wireless innovation.",1,,,,,
ISPreview UK,2025-08-19,Survey Claims Broadband ISPs Expect AI and Streaming to “Crush” Today’s Networks,https://www.ispreview.co.uk/index.php/2025/08/survey-claims-broadband-isps-expect-ai-and-streaming-to-crush-todays-networks.html,network_optimization_performance,0.3,other,negative,2,"AI,artificial intelligence",1,AI,61,"The survey reports that broadband ISPs expect AI-driven workloads and high‑definition streaming to overwhelm networks within five years, with 80% of respondents predicting the demand will crush current infrastructure. This underscores the urgency for capacity upgrades and strategic planning to accommodate future traffic spikes.",1,,,,,
ISPreview UK,2025-07-28,Virgin Media O2 UK to Boost Customer Service with New Lumi AI Tool,https://www.ispreview.co.uk/index.php/2025/07/virgin-media-o2-uk-tries-to-boost-customer-service-with-new-lumi-ai-tool.html,customer_support_experience,0.95,customer_support_experience,positive,3,"AI,Artificial Intelligence,Lumi AI",1,AI,51,"Virgin Media and O2 have launched Lumi AI, an AI tool designed to enhance customer support by enabling agents to deliver faster, more effective and personalised assistance, aiming to improve overall customer experience.",1,,,,,
ISPreview UK,2025-07-01,Broadband ISP TalkTalk UK Adopt NiCE’s AI-Powered Customer Service Platform,https://www.ispreview.co.uk/index.php/2025/07/broadband-isp-talktalk-uk-adopt-nices-ai-powered-customer-service-platform.html,customer_support_experience,0.95,customer_support_experience,positive,2,"AI,automation",1,AI,46,"TalkTalk has adopted NiCE’s CXone Mpower, an AI‑powered customer service automation platform, to improve its customer support operations and advance its goal of becoming the UK’s most recommended Wi‑Fi provider.",1,,,,,
ISPreview UK,2025-03-18,O2 UK’s AI Flags 50 Million Suspected SPAM and Scam Calls a Month,https://www.ispreview.co.uk/index.php/2025/03/o2-uks-ai-flags-50-million-suspected-spam-and-scam-calls-a-month.html,security_fraud_threat,0.95,security_fraud_threat,positive,1,AI,1,AI,59,"O2 has deployed Hiya’s AI‑powered Call Defence scam detection service, which has flagged more than 150 million suspected spam and scam calls and is now detecting over 50 million per month. The technology helps protect customers from fraud and nuisance calls, demonstrating the effectiveness of AI in fraud prevention.",1,,,,,
ISPreview UK,2025-03-11,Vodafone UK and Ericsson Trial AI Tech to Improve 5G Energy Efficiency,https://www.ispreview.co.uk/index.php/2025/03/vodafone-uk-and-ericsson-trial-ai-tech-to-improve-5g-energy-efficiency.html,network_optimization_performance,0.95,network_optimization_performance,positive,4,"Artificial Intelligence,AI,Machine Learning,ML",1,AI,48,"Vodafone UK and Ericsson have successfully trialed three AI and ML powered software solutions that reduced the daily power consumption of 5G radio units by 33%. The AI systems optimize network energy usage, improving overall 5G performance and sustainability. This demonstrates a tangible benefit of AI in enhancing network efficiency.",1,,,,,
ISPreview UK,2025-02-27,Spectrum Policy Forum Says AI Can Help Ofcom Manage UK Radio Waves,https://www.ispreview.co.uk/index.php/2025/02/spectrum-policy-forum-says-ai-can-help-ofcom-manage-uk-radio-waves.html,network_optimization_performance,0.2,other,neutral,2,"Artificial Intelligence,AI",1,AI,44,,1,,,,,
